Наименование^Смеситель для кухни Ledeme H53 L5953-2,Категория^smesiteli,Артикул^L5953-2,Коллекция^H53,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-h53-l5953-21.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2001.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2030.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2002.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2003.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2004.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2005.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2006.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2007.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2008.jpg,./images/smesiteli//L5953-2/smesitel-dlya-kukhni-ledeme-l5953-2009.jpg"
Наименование^Смеситель для ванны Ledeme H27 L2327 Хром,Категория^smesiteli,Артикул^L2327,Коллекция^H27,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2327/smesitel-ledeme-l23271.jpg,./images/smesiteli//L2327/smesitel-dlya-vanny-ledeme-l2327-khrom030.jpg"
Наименование^Смеситель для ванны Ledeme H17 L2317 Хром,Категория^smesiteli,Артикул^L2317,Коллекция^H17,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2317/smesitel-ledeme-l23171.jpg,./images/smesiteli//L2317/smesitel-dlya-vanny-ledeme-l2317-khrom030.jpg"
Наименование^Смеситель для ванны Ledeme H08 L2308,Категория^smesiteli,Артикул^L2308,Коллекция^H08,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2308/smesitel-ledeme-h08-l23081.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308001.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308002.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308003.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308004.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308005.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308006.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308007.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308008.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308009.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308010.jpg,./images/smesiteli//L2308/smesitel-dlya-vanny-ledeme-l2308030.jpg"
Наименование^Смеситель для ванны Ledeme H09 L2309 Хром,Категория^smesiteli,Артикул^L2309,Коллекция^H09,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2309/smesitel-ledeme-l23091.jpg,./images/smesiteli//L2309/smesitel-dlya-vanny-ledeme-l2309-khrom030.jpg"
Наименование^Смеситель для ванны Ledeme H12 L2312,Категория^smesiteli,Артикул^L2312,Коллекция^H12,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2312/smesitel-ledeme-h12-l23121.jpg,./images/smesiteli//L2312/smesitel-dlya-vanny-ledeme-l2312030.jpg"
Наименование^Смеситель для ванны Ledeme H20 L2320 Хром,Категория^smesiteli,Артикул^L2320,Коллекция^H20,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2320/ledeme-l23201.jpg,./images/smesiteli//L2320/smesitel-dlya-vanny-ledeme-l2320-khrom030.jpg"
Наименование^Смеситель для ванны Ledeme H26 L2326,Категория^smesiteli,Артикул^L2326,Коллекция^H26,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2326/smesitel-ledeme-h26-l23261.jpg,./images/smesiteli//L2326/smesitel-dlya-vanny-ledeme-l2326030.jpg"
Наименование^Смеситель для душа Ledeme H72 L2072,Категория^smesiteli,Артикул^L2072,Коллекция^H72,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для душа,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Форма излива^Без излива,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевой шланг 150 см, Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков",images_path^./images/smesiteli//L2072/smesitel-dlya-dusha-ledeme-l2072001.jpg
Наименование^Смеситель для кухни Ledeme H83 L4283,Категория^smesiteli,Артикул^L4283,Коллекция^H83,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4283/smesitel-ledeme-h83-l42831.jpg,./images/smesiteli//L4283/smesitel-ledeme-h83-l4283-chertezh1.jpg"
Наименование^Смеситель для кухни Ledeme  L4698U,Категория^smesiteli,Артикул^L4698U,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4698U/smesitel-dlya-kukhni-ledeme-l4698u001.jpg,./images/smesiteli//L4698U/smesitel-dlya-kukhni-ledeme-l4698u002.jpg"
Наименование^Смеситель для кухни Ledeme Rainbow L4898-2,Категория^smesiteli,Артикул^L4898-2,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Черные",Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-2020.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20011.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20021.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20031.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20041.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20051.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20061.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20071.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20081.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20091.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20101.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20111.jpg,./images/smesiteli//L4898-2/smesitel-dlya-kukhni-ledeme-l4898-20301.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-1,Категория^smesiteli,Артикул^L4898-1,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Красные",Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-1020.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10011(1).jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10021.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10031.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10041.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10051.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10061.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10071.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10081.jpg,./images/smesiteli//L4898-1/smesitel-dlya-kukhni-ledeme-l4898-10301.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-3,Категория^smesiteli,Артикул^L4898-3,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Белый/хром, Белые",Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3020.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3001.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3030.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30021.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30031.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30041.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30051.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30061.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-30071.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3008.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3009.jpg,./images/smesiteli//L4898-3/smesitel-dlya-kukhni-ledeme-l4898-3010.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-4,Категория^smesiteli,Артикул^L4898-4,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-4020.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40011.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40021.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40031.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40041.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40051.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40061.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40071.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40081.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40091.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40101.jpg,./images/smesiteli//L4898-4/smesitel-dlya-kukhni-ledeme-l4898-40301.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-5,Категория^smesiteli,Артикул^L4898-5,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Зеленые",Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-5020.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50011.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-5030.jpg,./images/smesiteli//L4898-5/smesitel-ledeme-rainbow-l4898-5_v_interiere1.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50021.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50031.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50041.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50051.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50061.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50071.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-50081.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-5009.jpg,./images/smesiteli//L4898-5/smesitel-dlya-kukhni-ledeme-l4898-5010.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-8,Категория^smesiteli,Артикул^L4898-8,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-8/smesitel-dlya-kukhni-ledeme-l4898-8020.jpg,./images/smesiteli//L4898-8/smesitel-dlya-kukhni-ledeme-l4898-8030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme Rainbow L4898-9,Категория^smesiteli,Артикул^L4898-9,Коллекция^Rainbow,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,"Функции излива^С гибким изливом, Поворотный","Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-9020.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90011.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90021.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90031.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90041.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90051.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90061.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90071.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90081.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90091.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90101.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90111.jpg,./images/smesiteli//L4898-9/smesitel-dlya-kukhni-ledeme-l4898-90301.jpg"
Наименование^Смеситель для кухни Ledeme H25 L4125,Категория^smesiteli,Артикул^L4125,Коллекция^H25,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4125/smesitel-ledeme-h25-l41251.jpg,./images/smesiteli//L4125/smesitel-dlya-kukhni-ledeme-l4125030.jpg"
Наименование^Смеситель для раковины Ledeme H49 L1049,Категория^smesiteli,Артикул^L1049,Коллекция^H49,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-h49-l10491.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l1049001.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l1049030.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l1049002.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490031.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490041.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490051.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490061.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490071.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490081.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l10490091.jpg,./images/smesiteli//L1049/smesitel-dlya-rakoviny-ledeme-l1049010.jpg"
Наименование^Смеситель для кухни Ledeme H01 L4101,Категория^smesiteli,Артикул^L4101,Коллекция^H01,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4101/smesitel-ledeme-h01-l41011.jpg,./images/smesiteli//L4101/smesitel-dlya-kukhni-ledeme-l4101030.jpg"
Наименование^Смеситель для кухни Ledeme H21 L4121,Категория^smesiteli,Артикул^L4121,Коллекция^H21,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4121/smesitel-ledeme-h21-l41211.jpg,./images/smesiteli//L4121/smesitel-dlya-kukhni-ledeme-l4121030.jpg"
Наименование^Смеситель для ванны Ledeme H22 L2322,Категория^smesiteli,Артикул^L2322,Коллекция^H22,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2322/smesitel-ledeme-h22-l23221.jpg,./images/smesiteli//L2322/smesitel-dlya-vanny-ledeme-l2322030.jpg"
Наименование^Смеситель для кухни Ledeme  L4099 Хром,Категория^smesiteli,Артикул^L4099,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4099/smesitel-ledeme-l40991.jpg,./images/smesiteli//L4099/smesitel-dlya-kukhni-ledeme-l4099-khrom030.jpg"
